17:15:56.384 [main] INFO  TestCases.TC_002_LoginTest - Starting Login Test
17:15:58.569 [main] INFO  TestCases.TC_002_LoginTest - Finished Login Test
17:16:04.207 [main] INFO  TestCases.TC_003_LoginTestDDT - Starting TC_003_LoginTestDDT
17:16:07.760 [main] INFO  TestCases.TC_003_LoginTestDDT - Finished TC_003_LoginTestDDT
17:16:07.761 [main] INFO  TestCases.TC_003_LoginTestDDT - Starting TC_003_LoginTestDDT
17:16:11.257 [main] INFO  TestCases.TC_003_LoginTestDDT - Finished TC_003_LoginTestDDT
17:16:11.261 [main] INFO  TestCases.TC_003_LoginTestDDT - Starting TC_003_LoginTestDDT
17:16:15.182 [main] INFO  TestCases.TC_003_LoginTestDDT - Finished TC_003_LoginTestDDT
17:16:15.186 [main] INFO  TestCases.TC_003_LoginTestDDT - Starting TC_003_LoginTestDDT
17:16:27.316 [main] INFO  TestCases.TC_003_LoginTestDDT - Finished TC_003_LoginTestDDT
17:16:27.321 [main] INFO  TestCases.TC_003_LoginTestDDT - Starting TC_003_LoginTestDDT
17:16:30.463 [main] INFO  TestCases.TC_003_LoginTestDDT - Finished TC_003_LoginTestDDT
17:16:30.465 [main] INFO  TestCases.TC_003_LoginTestDDT - Starting TC_003_LoginTestDDT
17:16:41.480 [main] INFO  TestCases.TC_003_LoginTestDDT - Finished TC_003_LoginTestDDT
